"Code","Year","Hydropower","Solar","Wind","Other"
"DZA","1965","0.3933266","0","0","0"
"DZA","1966","0.3623908","0","0","0"
"DZA","1967","0.4065848","0","0","0"
"DZA","1968","0.5568444","0","0","0"
"DZA","1969","0.3623908","0","0","0"
"DZA","1970","0.5833608","0","0","0"
"DZA","1971","0.3270356","0","0","0"
"DZA","1972","0.4993922","0","0","0"
"DZA","1973","0.7557174","0","0","0"
"DZA","1974","0.4993922","0","0","0"
"DZA","1975","0.3270356","0","0","0"
"DZA","1976","0.3844878","0","0","0"
"DZA","1977","0.2695834","0","0","0"
"DZA","1978","0.2563252","0","0","0"
"DZA","1979","0.2916804","0","0","0"
"DZA","1980","0.2563252","0","0","0"
"DZA","1981","0.3623908","0","0","0"
"DZA","1982","0.4772952","0","0","0"
"DZA","1983","0.2342282","0","0","0"
"DZA","1984","0.4551982","0","0","0"
"DZA","1985","0.646","0","0","0"
"DZA","1986","0.25","0","0","0"
"DZA","1987","0.499","0","0","0"
"DZA","1988","0.183","0","0","0"
"DZA","1989","0.226","0","0","0"
"DZA","1990","0.135","0","0","0"
"DZA","1991","0.293","0","0","0"
"DZA","1992","0.199","0","0","0"
"DZA","1993","0.353","0","0","0"
"DZA","1994","0.166","0","0","0"
"DZA","1995","0.193","0","0","0"
"DZA","1996","0.135","0","0","0"
"DZA","1997","0.075","0","0","0"
"DZA","1998","0.215","0","0","0"
"DZA","1999","0.203","0","0","0"
"DZA","2000","0.054","0","0","0"
"DZA","2001","0.069","0","0","0"
"DZA","2002","0.057","0","0","0"
"DZA","2003","0.265","0","0","0"
"DZA","2004","0.251","0","0","0"
"DZA","2005","0.5553","0","0","0"
"DZA","2006","0.2176","0","0","0"
"DZA","2007","0.226","0","0","0"
"DZA","2008","0.283","0","0","0"
"DZA","2009","0.342","0","0","0"
"DZA","2010","0.173","0.0091","0","0"
"DZA","2011","0.378","0.01811875","0","0"
"DZA","2012","0.389","0.026723014","0","0"
"DZA","2013","0.099","0.0286","0","0"
"DZA","2014","0.193","0.06","0.001","0"
"DZA","2015","0.145","0.058","0.019","0"
"DZA","2016","0.072","0.245","0.019052055","0"
"DZA","2017","0.056","0.504","0.019","0"
"DZA","2018","0.117","0.603","0.01","0"
"ARG","1965","1.2109156","0","0","0"
"ARG","1966","1.2285932","0","0","0"
"ARG","1967","1.2551096","0","0","0"
"ARG","1968","1.480499","0","0","0"
"ARG","1969","1.32582","0","0","0"
"ARG","1970","1.5158542","0","0","0.047540991"
"ARG","1971","1.524693","0","0","0.049864614"
"ARG","1972","1.4849184","0","0","0.064353152"
"ARG","1973","2.960998","0","0","0.049042434"
"ARG","1974","4.971825","0","0","0.050067671"
"ARG","1975","5.1353428","0","0","0.054922642"
"ARG","1976","4.9408892","0","0","0.050202792"
"ARG","1977","5.7054454","0","0","0.053855108"
"ARG","1978","7.6632396","0","0","0.054136662"
"ARG","1979","10.5358496","0","0","0.084393763"
"ARG","1980","14.9729272","0","0","0.086251568"
"ARG","1981","14.5000514","0","0","0.0747225"
"ARG","1982","17.4964046","0","0","0.095912465"
"ARG","1983","18.207928","0","0","0.137314784"
"ARG","1984","19.6486524","0","0","0.097392792"
"ARG","1985","20.6562756","0","0","0.103321614"
"ARG","1986","21.0085052","0","0","0.107078921"
"ARG","1987","21.8132882","0","0","0.108156823"
"ARG","1988","15.5497744","0","0","0.121116047"
"ARG","1989","12.9769104","0","0","0.119376908"
"ARG","1990","17.9031534","0","0","0.106763284"
"ARG","1991","16.1993292","0","0","0.099600404"
"ARG","1992","19.77905051","0","0","0.101865495"
"ARG","1993","23.55547475","0","0","0.107438403"
"ARG","1994","27.97278788","0","0","0.119290038"
"ARG","1995","28.45812121","0","0","0.115592457"
"ARG","1996","25.94518182","0","0.009618","0.351397492"
"ARG","1997","33.0299596","0","0.014592","0.44563205"
"ARG","1998","32.42178788","1.7E-5","0.032541","0.463881203"
"ARG","1999","26.53007071","2.6E-5","0.034781","0.650455143"
"ARG","2000","34.0340101","3.6E-5","0.034758","0.67501431"
"ARG","2001","41.90326263","4.3E-5","0.049361","0.60932585"
"ARG","2002","41.46705051","4.7E-5","0.073405","0.850248638"
"ARG","2003","39.08008081","6.5E-5","0.077954","1.014079858"
"ARG","2004","35.40287879","7.0E-5","0.072446","0.90029509"
"ARG","2005","39.35009091","8.1E-5","0.071719665","1.074072901"
"ARG","2006","43.624","9.0E-5","0.06964","1.567410315"
"ARG","2007","37.741","0.0001089","0.061593","1.575708696"
"ARG","2008","37.199","0.0001437","0.041951078","1.693536384"
"ARG","2009","40.783","7.6084E-5","0.036831529","1.728756162"
"ARG","2010","40.543","8.589E-5","0.025351606","2.01325481"
"ARG","2011","39.641","0.001614","0.02659055","2.190205828"
"ARG","2012","36.876","0.008172967","0.369861999","2.45382161"
"ARG","2013","40.7","0.015074079","0.453354876","2.45735005"
"ARG","2014","40.864","0.015944","0.619491","2.302025252"
"ARG","2015","41.7709","0.014683","0.593334963","2.378258598"
"ARG","2016","38.25439327","0.014273","0.547359","1.963408643"
"ARG","2017","41.54297858","0.016417","0.611567","2.383654508"
"ARG","2018","41.64945459","0.108128528","1.412699784","2.29693941"
"AUS","1965","7.689756","0","0","0.296"
"AUS","1966","7.3450428","0","0","0.284"
"AUS","1967","7.6057874","0","0","0.29"
